event_name,parameter_name,type,scope
game_started,player_id,string,envelope
game_started,app_version,string,envelope
game_started,platform,string,envelope
game_started,schema_version,int,envelope
game_started,timestamp_utc_ms,long,envelope
game_started,timestamp_utc_iso,string,envelope
game_started,match_id,string,event
game_started,party_id,string,event
game_started,player_ids,string,event
game_started,invite_triggered,bool,event
game_started,player_count_human,int,event
game_started,player_count_ai,int,event
game_started,game_mode,string,event
game_started,intensity,int,event
game_started,vessel_class,string,event
game_started,player_count,int,event
game_started,ai_count,int,event
game_started,is_multiplayer,bool,event
game_completed,player_id,string,envelope
game_completed,app_version,string,envelope
game_completed,platform,string,envelope
game_completed,schema_version,int,envelope
game_completed,timestamp_utc_ms,long,envelope
game_completed,timestamp_utc_iso,string,envelope
game_completed,flight_time_seconds,float,event
game_completed,duration_seconds,int,event
game_completed,match_id,string,event
game_completed,party_id,string,event
game_completed,player_won,bool,event
game_completed,game_mode,string,event
game_completed,intensity,int,event
game_completed,vessel_class,string,event
game_completed,player_count,int,event
game_completed,ai_count,int,event
game_completed,is_multiplayer,bool,event
session_ended,player_id,string,envelope
session_ended,app_version,string,envelope
session_ended,platform,string,envelope
session_ended,schema_version,int,envelope
session_ended,timestamp_utc_ms,long,envelope
session_ended,timestamp_utc_iso,string,envelope
session_ended,reason,string,event
session_ended,last_ui_action,string,event
session_ended,app_state,string,event
play_again_pressed,player_id,string,envelope
play_again_pressed,app_version,string,envelope
play_again_pressed,platform,string,envelope
play_again_pressed,schema_version,int,envelope
play_again_pressed,timestamp_utc_ms,long,envelope
play_again_pressed,timestamp_utc_iso,string,envelope
ui_action,player_id,string,envelope
ui_action,app_version,string,envelope
ui_action,platform,string,envelope
ui_action,schema_version,int,envelope
ui_action,timestamp_utc_ms,long,envelope
ui_action,timestamp_utc_iso,string,envelope
ui_action,action_type,string,event
ui_action,action_label,string,event
ui_action,action_value,string,event
ad_impression,player_id,string,envelope
ad_impression,app_version,string,envelope
ad_impression,platform,string,envelope
ad_impression,schema_version,int,envelope
ad_impression,timestamp_utc_ms,long,envelope
ad_impression,timestamp_utc_iso,string,envelope
game_first_launched,player_id,string,envelope
game_first_launched,app_version,string,envelope
game_first_launched,platform,string,envelope
game_first_launched,schema_version,int,envelope
game_first_launched,timestamp_utc_ms,long,envelope
game_first_launched,timestamp_utc_iso,string,envelope
menu_ready,player_id,string,envelope
menu_ready,app_version,string,envelope
menu_ready,platform,string,envelope
menu_ready,schema_version,int,envelope
menu_ready,timestamp_utc_ms,long,envelope
menu_ready,timestamp_utc_iso,string,envelope
menu_ready,is_first,bool,event
menu_ready,seconds_since_launch,int,event
freestyle_entered,player_id,string,envelope
freestyle_entered,app_version,string,envelope
freestyle_entered,platform,string,envelope
freestyle_entered,schema_version,int,envelope
freestyle_entered,timestamp_utc_ms,long,envelope
freestyle_entered,timestamp_utc_iso,string,envelope
freestyle_entered,is_first,bool,event
freestyle_entered,seconds_since_launch,int,event
mode_unlocked,player_id,string,envelope
mode_unlocked,app_version,string,envelope
mode_unlocked,platform,string,envelope
mode_unlocked,schema_version,int,envelope
mode_unlocked,timestamp_utc_ms,long,envelope
mode_unlocked,timestamp_utc_iso,string,envelope
mode_unlocked,game_mode,string,event
intensity_unlocked,player_id,string,envelope
intensity_unlocked,app_version,string,envelope
intensity_unlocked,platform,string,envelope
intensity_unlocked,schema_version,int,envelope
intensity_unlocked,timestamp_utc_ms,long,envelope
intensity_unlocked,timestamp_utc_iso,string,envelope
intensity_unlocked,game_mode,string,event
intensity_unlocked,intensity,int,event
setting_changed,player_id,string,envelope
setting_changed,app_version,string,envelope
setting_changed,platform,string,envelope
setting_changed,schema_version,int,envelope
setting_changed,timestamp_utc_ms,long,envelope
setting_changed,timestamp_utc_iso,string,envelope
setting_changed,setting,string,event
setting_changed,value,string,event
setting_changed,seconds_since_launch,int,event
crystals_earned,player_id,string,envelope
crystals_earned,app_version,string,envelope
crystals_earned,platform,string,envelope
crystals_earned,schema_version,int,envelope
crystals_earned,timestamp_utc_ms,long,envelope
crystals_earned,timestamp_utc_iso,string,envelope
crystals_earned,amount,int,event
crystals_earned,source,string,event
crystals_earned,balance,int,event
crystals_spent,player_id,string,envelope
crystals_spent,app_version,string,envelope
crystals_spent,platform,string,envelope
crystals_spent,schema_version,int,envelope
crystals_spent,timestamp_utc_ms,long,envelope
crystals_spent,timestamp_utc_iso,string,envelope
crystals_spent,amount,int,event
crystals_spent,source,string,event
crystals_spent,balance,int,event
crystal_spend_blocked,player_id,string,envelope
crystal_spend_blocked,app_version,string,envelope
crystal_spend_blocked,platform,string,envelope
crystal_spend_blocked,schema_version,int,envelope
crystal_spend_blocked,timestamp_utc_ms,long,envelope
crystal_spend_blocked,timestamp_utc_iso,string,envelope
crystal_spend_blocked,amount,int,event
crystal_spend_blocked,item,string,event
crystal_spend_blocked,balance,int,event
vessel_unlocked,player_id,string,envelope
vessel_unlocked,app_version,string,envelope
vessel_unlocked,platform,string,envelope
vessel_unlocked,schema_version,int,envelope
vessel_unlocked,timestamp_utc_ms,long,envelope
vessel_unlocked,timestamp_utc_iso,string,envelope
vessel_unlocked,vessel,string,event
vessel_unlocked,cost,int,event
vessel_unlocked,balance,int,event
crystal_balance_snapshot,player_id,string,envelope
crystal_balance_snapshot,app_version,string,envelope
crystal_balance_snapshot,platform,string,envelope
crystal_balance_snapshot,schema_version,int,envelope
crystal_balance_snapshot,timestamp_utc_ms,long,envelope
crystal_balance_snapshot,timestamp_utc_iso,string,envelope
crystal_balance_snapshot,balance,int,event
friend_request_sent,player_id,string,envelope
friend_request_sent,app_version,string,envelope
friend_request_sent,platform,string,envelope
friend_request_sent,schema_version,int,envelope
friend_request_sent,timestamp_utc_ms,long,envelope
friend_request_sent,timestamp_utc_iso,string,envelope
friend_request_sent,target_id,string,event
friend_request_received,player_id,string,envelope
friend_request_received,app_version,string,envelope
friend_request_received,platform,string,envelope
friend_request_received,schema_version,int,envelope
friend_request_received,timestamp_utc_ms,long,envelope
friend_request_received,timestamp_utc_iso,string,envelope
friend_request_received,from_id,string,event
friend_added,player_id,string,envelope
friend_added,app_version,string,envelope
friend_added,platform,string,envelope
friend_added,schema_version,int,envelope
friend_added,timestamp_utc_ms,long,envelope
friend_added,timestamp_utc_iso,string,envelope
friend_added,friend_id,string,event
party_invite_sent,player_id,string,envelope
party_invite_sent,app_version,string,envelope
party_invite_sent,platform,string,envelope
party_invite_sent,schema_version,int,envelope
party_invite_sent,timestamp_utc_ms,long,envelope
party_invite_sent,timestamp_utc_iso,string,envelope
party_invite_sent,target_id,string,event
party_invite_received,player_id,string,envelope
party_invite_received,app_version,string,envelope
party_invite_received,platform,string,envelope
party_invite_received,schema_version,int,envelope
party_invite_received,timestamp_utc_ms,long,envelope
party_invite_received,timestamp_utc_iso,string,envelope
party_invite_received,host_id,string,event
party_joined,player_id,string,envelope
party_joined,app_version,string,envelope
party_joined,platform,string,envelope
party_joined,schema_version,int,envelope
party_joined,timestamp_utc_ms,long,envelope
party_joined,timestamp_utc_iso,string,envelope
minigame_favorited,player_id,string,envelope
minigame_favorited,app_version,string,envelope
minigame_favorited,platform,string,envelope
minigame_favorited,schema_version,int,envelope
minigame_favorited,timestamp_utc_ms,long,envelope
minigame_favorited,timestamp_utc_iso,string,envelope
minigame_favorited,game_mode,string,event
minigame_favorited,favorited,bool,event
share_triggered,player_id,string,envelope
share_triggered,app_version,string,envelope
share_triggered,platform,string,envelope
share_triggered,schema_version,int,envelope
share_triggered,timestamp_utc_ms,long,envelope
share_triggered,timestamp_utc_iso,string,envelope
share_triggered,game_mode,string,event
quest_completed,player_id,string,envelope
quest_completed,app_version,string,envelope
quest_completed,platform,string,envelope
quest_completed,schema_version,int,envelope
quest_completed,timestamp_utc_ms,long,envelope
quest_completed,timestamp_utc_iso,string,envelope
quest_completed,quest,string,event
quest_completed,shard_value,int,event
repeated_game_fail,player_id,string,envelope
repeated_game_fail,app_version,string,envelope
repeated_game_fail,platform,string,envelope
repeated_game_fail,schema_version,int,envelope
repeated_game_fail,timestamp_utc_ms,long,envelope
repeated_game_fail,timestamp_utc_iso,string,envelope
repeated_game_fail,game_mode,string,event
repeated_game_fail,fail_count,int,event
cloud_save_failed,player_id,string,envelope
cloud_save_failed,app_version,string,envelope
cloud_save_failed,platform,string,envelope
cloud_save_failed,schema_version,int,envelope
cloud_save_failed,timestamp_utc_ms,long,envelope
cloud_save_failed,timestamp_utc_iso,string,envelope
cloud_save_failed,key,string,event
